Date,Last Price,Open Interest,SMAVG (15)
9/30/1996,23.21,50860,57473
8/30/1996,20.78,65919,57030
7/31/1996,18.9,63729,56212
6/28/1996,18.91,48238,56172
5/31/1996,17.8,58861,56275
4/30/1996,19.02,55406,56829
3/29/1996,19.41,69155,58619
2/29/1996,17.76,55985,59632
1/31/1996,16.52,58848,61859
12/29/1995,18.33,67894,63012
11/30/1995,17.04,70222,62760
10/31/1995,16.33,47260,62187
9/29/1995,16.12,48019,64094
8/31/1995,16.25,55346,65442
7/31/1995,16.01,46347,65955
6/30/1995,16.38,44214,67621
5/31/1995,17.7,53650,68515
4/28/1995,19.06,63131,69283
3/31/1995,17.5,49793,68871
2/28/1995,16.87,67159,66656
1/31/1995,16.8,82268,67574
12/30/1994,16.5,84342,67171
11/30/1994,17.11,89395,66339
10/31/1994,16.92,76145,65597
9/30/1994,17.15,64106,65474
8/31/1994,16.36,61625,65480
7/29/1994,18.59,75865,64905
6/30/1994,17.52,68251,63560
5/31/1994,16.45,63030,62752
4/29/1994,15.69,71336,61961
3/31/1994,13.25,57631,60736
2/28/1994,13.35,65175,59825
1/31/1994,14.22,56940,58719
12/31/1993,13.2,16568,
11/30/1993,14.52,80937,
10/29/1993,15.8,76214,
9/30/1993,17.43,71867,
8/31/1993,17.08,78272,
7/30/1993,16.75,74295,
6/30/1993,17.51,64199,
5/31/1993,18.6,52998,
4/30/1993,19.15,55691,
3/31/1993,18.9,56132,
2/26/1993,18.92,51163,
1/29/1993,18.47,52962,
12/31/1992,18.29,43957,
11/30/1992,18.84,48587,
10/30/1992,19.45,,
