STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DAY,MONTH,YEAR,DATE,TMAX,TMIN,Source: https://www.ncdc.noaa.gov/cdo-web/search
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,6,11,1916,11/6/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,7,11,1916,11/7/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,8,11,1916,11/8/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,9,11,1916,11/9/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,10,11,1916,11/10/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,11,11,1916,11/11/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,12,11,1916,11/12/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,13,11,1916,11/13/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,14,11,1916,11/14/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,15,11,1916,11/15/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,16,11,1916,11/16/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,17,11,1916,11/17/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,18,11,1916,11/18/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,19,11,1916,11/19/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,20,11,1916,11/20/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,21,11,1916,11/21/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,22,11,1916,11/22/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,23,11,1916,11/23/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,24,11,1916,11/24/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,25,11,1916,11/25/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,26,11,1916,11/26/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,27,11,1916,11/27/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,28,11,1916,11/28/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,29,11,1916,11/29/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,30,11,1916,11/30/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,1,12,1916,12/1/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,2,12,1916,12/2/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,3,12,1916,12/3/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,4,12,1916,12/4/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,5,12,1916,12/5/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,6,12,1916,12/6/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,7,12,1916,12/7/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,8,12,1916,12/8/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,9,12,1916,12/9/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,10,12,1916,12/10/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,11,12,1916,12/11/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,12,12,1916,12/12/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,13,12,1916,12/13/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,14,12,1916,12/14/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,15,12,1916,12/15/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,16,12,1916,12/16/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,17,12,1916,12/17/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,18,12,1916,12/18/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,19,12,1916,12/19/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,20,12,1916,12/20/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,21,12,1916,12/21/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,22,12,1916,12/22/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,23,12,1916,12/23/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,24,12,1916,12/24/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,25,12,1916,12/25/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,26,12,1916,12/26/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,27,12,1916,12/27/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,28,12,1916,12/28/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,29,12,1916,12/29/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,30,12,1916,12/30/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,31,12,1916,12/31/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,2,1,1917,1/2/1917,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,5,1,1917,1/5/1917,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,6,1,1917,1/6/1917,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,8,1,1917,1/8/1917,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,12,1,1917,1/12/1917,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,13,1,1917,1/13/1917,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,20,1,1917,1/20/1917,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,23,1,1917,1/23/1917,,,
